OBJECTID,FULL_NAME,Has_MAX_BRT,Shape_Length,SIDEWALK_AREA,SIDEWALK_WIDTH,HOV,IMPACTED,BLOCK_ID,INTEGRATED_LU,GREEN_BUFFER,Start_X,Start_Y,End_X,End_Y
2925,CENTRE ST N,Yes,0.50000121,0.910033395,1.8,,,21,Yes,,-4378.4551,5660831.021,-4378.454,5660831.521
2926,CENTRE ST N,Yes,0.50000144,0.903105845,1.8,,,21,,,-4378.3988,5660855.521,-4378.3976,5660856.021
2927,CENTRE ST N,Yes,0.50000121,0.90430556,1.8,,,21,Yes,,-4378.3999,5660855.021,-4378.3988,5660855.521
2928,CENTRE ST N,Yes,0.50000144,0.90548082,1.8,,,21,Yes,,-4378.4011,5660854.521,-4378.3999,5660855.021
2929,CENTRE ST N,Yes,0.50000121,0.906680415,1.8,,,21,Yes,,-4378.4022,5660854.021,-4378.4011,5660854.521
2930,CENTRE ST N,Yes,0.50000144,0.90785598,1.8,,,21,Yes,,-4378.4034,5660853.521,-4378.4022,5660854.021
2931,CENTRE ST N,Yes,0.50000121,0.90905556,1.8,,,21,Yes,,-4378.4045,5660853.021,-4378.4034,5660853.521
2932,CENTRE ST N,Yes,0.49990144,0.910048775,1.8,,,21,Yes,,-4378.4057,5660852.521,-4378.4045,5660853.021
2933,CENTRE ST N,Yes,0.50000121,0.911405305,1.8,,,21,Yes,,-4378.4068,5660852.021,-4378.4057,5660852.521
2934,CENTRE ST N,Yes,0.50000144,0.9126061,1.8,,,21,Yes,,-4378.408,5660851.521,-4378.4068,5660852.021
2935,CENTRE ST N,Yes,0.50000121,0.91378006,1.8,,,21,Yes,,-4378.4091,5660851.021,-4378.408,5660851.521
2936,CENTRE ST N,Yes,0.50000144,0.9149561,1.8,,,21,Yes,,-4378.4103,5660850.521,-4378.4091,5660851.021
2937,CENTRE ST N,Yes,0.50000121,0.916200555,1.8,,,21,Yes,,-4378.4114,5660850.021,-4378.4103,5660850.521
2938,CENTRE ST N,Yes,0.50000144,0.91830444,1.8,,,21,Yes,,-4378.4126,5660849.521,-4378.4114,5660850.021
2939,CENTRE ST N,Yes,0.50000121,0.920679315,1.8,,,21,Yes,,-4378.4137,5660849.021,-4378.4126,5660849.521
2940,CENTRE ST N,Yes,0.50000144,0.92310454,1.8,,,21,Yes,,-4378.4149,5660848.521,-4378.4137,5660849.021
2941,CENTRE ST N,Yes,0.50000121,0.92518781,1.9,,,21,Yes,,-4378.416,5660848.021,-4378.4149,5660848.521
2942,CENTRE ST N,Yes,0.50000144,0.92640828,1.9,,,21,Yes,,-4378.4172,5660847.521,-4378.416,5660848.021
2943,CENTRE ST N,Yes,0.50000121,0.927632795,1.9,,,21,Yes,,-4378.4183,5660847.021,-4378.4172,5660847.521
2944,CENTRE ST N,Yes,0.50000144,0.92885806,1.9,,,21,Yes,,-4378.4195,5660846.521,-4378.4183,5660847.021
2945,CENTRE ST N,Yes,0.50000121,0.92920404,1.9,,,21,Yes,,-4378.4206,5660846.021,-4378.4195,5660846.521
2946,CENTRE ST N,Yes,0.50000144,0.92714964,1.9,,,21,Yes,,-4378.4218,5660845.521,-4378.4206,5660846.021
2947,CENTRE ST N,Yes,0.50000121,0.924174405,1.8,,,21,Yes,,-4378.4229,5660845.021,-4378.4218,5660845.521
2948,CENTRE ST N,Yes,0.50000144,0.92119964,1.8,,,21,Yes,,-4378.4241,5660844.521,-4378.4229,5660845.021
2949,CENTRE ST N,Yes,0.50000121,0.918224995,1.8,,,21,Yes,,-4378.4252,5660844.021,-4378.4241,5660844.521
2950,CENTRE ST N,Yes,0.50000144,0.915290505,1.8,,,21,Yes,,-4378.4264,5660843.521,-4378.4252,5660844.021
2951,CENTRE ST N,Yes,0.50000121,0.883594725,1.8,,,21,Yes,,-4378.37,5660868.021,-4378.3689,5660868.521
2952,CENTRE ST N,Yes,0.50000144,0.883905325,1.8,,,21,Yes,,-4378.3712,5660867.521,-4378.37,5660868.021
