OBJECTID,FULL_NAME,Has_MAX_BRT,Shape_Length,SIDEWALK_WIDTH,BLOCK_ID,Start_X,Start_Y,End_X,End_Y
121,CENTRE ST N,Yes,79.95113852,1.9,121,-4378.3809,5660370.937,-4378.3398,5660290.986
123,CENTRE ST N,Yes,81.81055528,1.7,123,-4378.9287,5660470.285,-4378.7806,5660388.476
125,CENTRE ST N,Yes,90.02677698,1.9,125,-4377.0958,5660579.393,-4378.8078,5660489.418
127,CENTRE ST N,Yes,174.7209599,1.7,127,-4372.573,5660772.685,-4375.9592,5660598.047
129,CENTRE ST N,Yes,177.1605472,1.7,129,-4372.0377,5660967.492,-4372.4888,5660790.332
131,CENTRE ST N,Yes,221.5390379,1.7,131,-4371.4334,5661205.284,-4372.136,5660983.746
133,CENTRE ST N,Yes,159.3826529,1.8,133,-4371.0409,5661381.076,-4371.7859,5661221.699
135,CENTRE ST N,Yes,81.32622723,5,135,-4370.5941,5661484.6,-4370.7163,5661403.277
137,CENTRE ST N,Yes,81.49905268,1.9,137,-4370.4237,5661584.193,-4370.7247,5661502.695
139,CENTRE ST N,Yes,80.22142644,2.5,139,-4370.5941,5661682.804,-4370.2949,5661602.584
141,CENTRE ST N,Yes,82.73486131,2.8,141,-4370.4687,5661785.507,-4370.8381,5661702.774
