OBJECTID,TREE_ASSET_CD,ASSET_TYPE,ASSET_SUBTYPE,COMMON_NAME,HORT_CODE,GENUS,SPECIES,CULTIVAR,DBH_CM,MATURE_SIZE,RATING,APPRAISED_VALUE,TREE_CONDITION_RATING_PERC,HERITAGE_TREES,TREE_MAINTENANCE,MAINTAINED_BY,WAM_ID,COMM_CODE,LOCATION_DETAIL,SITE_ELEMENT_TYPE_DESCRIPTION,SITE_ELEMENT_MINORTYPE,HARDWARE,ACTIVE_DT,MODIFIED_DT,X_Point,Y_Point
43,ALB678,TREE,Deciduous,"ASH, GREEN",FRPE,FRAXINUS,PENNSYLVANICA,,9,LARGE,80,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51429899,ALB,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,997.7545,5655744.059
44,ALB678,TREE,Deciduous,"ELM, AMERICAN",ULAM,ULMUS,AMERICANA,,14,LARGE,90,1010.53,72,N,ESTABLISH TREE,CALGARY PARKS,T-51429938,ALB,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,1119.7866,5655743.884
45,FLN678,TREE,Deciduous,"ELM, AMERICAN",ULAM,ULMUS,AMERICANA,,10,LARGE,90,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51430014,FLN,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,2639.1479,5655745.17
47,SOV678,TREE,Deciduous,"ASH, GREEN",FRPE,FRAXINUS,PENNSYLVANICA,,8,LARGE,80,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51412726,SOV,,NON TITLED,B - BLOCKSIDE,N,2021-12-12,2025-08-29,546.4215,5655714.591
50,PEN678,TREE,Deciduous,"ELM, AMERICAN",ULAM,ULMUS,AMERICANA,,15,LARGE,90,985.62,63,N,ESTABLISH TREE,CALGARY PARKS,T-51430035,PEN,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,3090.9391,5655746.744
51,FLI678,TREE,Deciduous,"ASH, GREEN",FRPE,FRAXINUS,PENNSYLVANICA,,4,LARGE,80,565,58,N,ESTABLISH TREE,CALGARY PARKS,T-51430037,FLI,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,3198.7023,5655718.644
52,FLN678,TREE,Deciduous,"ASH, GREEN",FRPE,FRAXINUS,PENNSYLVANICA,,7,LARGE,80,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51429966,FLN,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,1676.8365,5655716.781
53,FLN678,TREE,Deciduous,"ELM, AMERICAN",ULAM,ULMUS,AMERICANA,,3,LARGE,90,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51429999,FLN,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,2375.6782,5655714.152
54,FLN678,TREE,Deciduous,"ELM, AMERICAN",ULAM,ULMUS,AMERICANA,,4,LARGE,90,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51429997,FLN,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,2365.67,5655714.459
55,ALB678,TREE,Deciduous,"ASH, GREEN",FRPE,FRAXINUS,PENNSYLVANICA,,3,LARGE,80,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51429926,ALB,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,1029.2795,5655743.665
56,FLI678,TREE,Deciduous,"ELM, AMERICAN",ULAM,ULMUS,AMERICANA,,15,LARGE,90,970.91,63,N,ESTABLISH TREE,CALGARY PARKS,T-51430017,FLI,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,2683.8732,5655715.771
57,FLN678,TREE,Deciduous,"ASH, GREEN",FRPE,FRAXINUS,PENNSYLVANICA,,9,LARGE,80,565,75,N,ESTABLISH TREE,CALGARY PARKS,T-51429961,FLN,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,1618.3941,5655716.718
59,SOV002,TREE,Deciduous,"ASH, GREEN",FRPE,FRAXINUS,PENNSYLVANICA,,8,LARGE,80,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51429949,SOV,,NON TITLED,MM - MEDIAN MAJOR,N,2021-10-05,2025-08-29,1216.6828,5655713.994
60,FLN678,TREE,Deciduous,"ELM, AMERICAN",ULAM,ULMUS,AMERICANA,,4,LARGE,90,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51429993,FLN,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,2341.9578,5655714.337
62,SOV004,TREE,Deciduous,"ASPEN, QUAKING/TREMBLING",POTR1,POPULUS,TREMULOIDES,,7,MEDIUM,70,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51429903,SOV,,NON TITLED,BVM - BOULEVARD MAJOR,N,2021-10-05,2025-08-29,682.579,5655715.954
63,FLN678,TREE,Deciduous,"ASH, GREEN",FRPE,FRAXINUS,PENNSYLVANICA,,8,LARGE,80,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51429957,FLN,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,1421.775,5655713.913
64,FLI678,TREE,Deciduous,"ELM, AMERICAN",ULAM,ULMUS,AMERICANA,,15,LARGE,90,1017.15,66,N,ESTABLISH TREE,CALGARY PARKS,T-51430021,FLI,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,2804.6995,5655716.08
65,FLI678,TREE,Deciduous,"ASH, GREEN",FRPE,FRAXINUS,PENNSYLVANICA,,4,LARGE,80,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51430048,FLI,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,3339.1097,5655719.089
66,FLI678,TREE,Deciduous,"ELM, AMERICAN",ULAM,ULMUS,AMERICANA,,10,LARGE,90,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51430010,FLI,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,2587.1167,5655715.81
67,ALB678,TREE,Deciduous,"ASH, GREEN",FRPE,FRAXINUS,PENNSYLVANICA,,3,LARGE,80,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51429945,ALB,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,1171.0538,5655744.974
68,FLI678,TREE,Deciduous,"ASH, GREEN",FRPE,FRAXINUS,PENNSYLVANICA,,7,LARGE,80,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51430008,FLI,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,2570.4389,5655715.758
69,FLN678,TREE,Deciduous,"ASH, GREEN",FRPE,FRAXINUS,PENNSYLVANICA,,15,LARGE,80,876.11,63,N,ESTABLISH TREE,CALGARY PARKS,T-51429975,FLN,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,1840.4445,5655716.603
70,FLI678,TREE,Deciduous,"ASH, GREEN",FRPE,FRAXINUS,PENNSYLVANICA,,4,LARGE,80,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51430044,FLI,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,3292.5832,5655718.715
71,SOV002,TREE,Deciduous,"ASPEN, QUAKING/TREMBLING",POTR1,POPULUS,TREMULOIDES,,4,MEDIUM,70,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51429919,SOV,,NON TITLED,MM - MEDIAN MAJOR,N,2021-10-05,2025-08-29,849.7011,5655713.053
72,FLN678,TREE,Deciduous,"ASH, GREEN",FRPE,FRAXINUS,PENNSYLVANICA,,9,LARGE,80,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51429981,FLN,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,2268.9836,5655714.504
74,SOV004,TREE,Deciduous,"ASPEN, QUAKING/TREMBLING",POTR1,POPULUS,TREMULOIDES,,7,MEDIUM,70,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51429901,SOV,,NON TITLED,BVM - BOULEVARD MAJOR,N,2021-10-05,2025-08-29,678.5814,5655715.909
75,FLN678,TREE,Deciduous,"ELM, AMERICAN",ULAM,ULMUS,AMERICANA,,4,LARGE,90,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51429996,FLN,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,2356.8963,5655714.41
77,FLI678,TREE,Deciduous,"ASH, GREEN",FRPE,FRAXINUS,PENNSYLVANICA,,4,LARGE,80,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51430046,FLI,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,3329.0806,5655719.005
79,SOV002,TREE,Deciduous,"ASH, GREEN",FRPE,FRAXINUS,PENNSYLVANICA,,8,LARGE,80,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51429941,SOV,,NON TITLED,MM - MEDIAN MAJOR,N,2021-10-05,2025-08-29,1128.7142,5655713.462
80,FLI678,TREE,Deciduous,"ASH, GREEN",FRPE,FRAXINUS,PENNSYLVANICA,,4,LARGE,80,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51430041,FLI,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,3259.0382,5655718.816
81,FLN678,TREE,Deciduous,"ELM, AMERICAN",ULAM,ULMUS,AMERICANA,,10,LARGE,90,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51430018,FLN,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,2743.1621,5655746.281
82,FLN678,TREE,Deciduous,"ASH, GREEN",FRPE,FRAXINUS,PENNSYLVANICA,,8,LARGE,80,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51429954,FLN,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,1393.4327,5655744.707
83,FLN678,TREE,Deciduous,"ELM, AMERICAN",ULAM,ULMUS,AMERICANA,,10,LARGE,90,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51430013,FLN,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,2632.0086,5655744.622
84,SOV002,TREE,Deciduous,"ASPEN, QUAKING/TREMBLING",POTR1,POPULUS,TREMULOIDES,,9,MEDIUM,70,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51429917,SOV,,NON TITLED,MM - MEDIAN MAJOR,N,2021-10-05,2025-08-29,838.1922,5655713.151
86,FLN678,TREE,Deciduous,"ASH, GREEN",FRPE,FRAXINUS,PENNSYLVANICA,,8,LARGE,80,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51429960,FLN,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,1564.6226,5655716.546
88,PEN678,TREE,Deciduous,"ELM, AMERICAN",ULAM,ULMUS,AMERICANA,,10,LARGE,90,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51430034,PEN,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,3056.7842,5655746.635
91,FLN678,TREE,Deciduous,"ASH, GREEN",FRPE,FRAXINUS,PENNSYLVANICA,,4,LARGE,80,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51429977,FLN,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,1875.6306,5655716.694
92,FLI678,TREE,Deciduous,"ASH, GREEN",FRPE,FRAXINUS,PENNSYLVANICA,,4,LARGE,80,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51430051,FLI,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,3354.6862,5655719.422
94,SOV002,TREE,Deciduous,"ASH, GREEN",FRPE,FRAXINUS,PENNSYLVANICA,,9,LARGE,80,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51429950,SOV,,NON TITLED,MM - MEDIAN MAJOR,N,2021-10-05,2025-08-29,1221.1785,5655713.661
95,SOV678,TREE,Deciduous,"ASH, GREEN",FRPE,FRAXINUS,PENNSYLVANICA,,3,LARGE,80,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51412727,SOV,,NON TITLED,B - BLOCKSIDE,N,2021-12-12,2025-08-29,541.0353,5655714.491
96,FLN678,TREE,Deciduous,"ASH, GREEN",FRPE,FRAXINUS,PENNSYLVANICA,,3,LARGE,80,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51429956,FLN,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,1403.4056,5655744.72
97,SOV002,TREE,Deciduous,"ELM, AMERICAN",ULAM,ULMUS,AMERICANA,,13,LARGE,90,762.4,63,N,ESTABLISH TREE,CALGARY PARKS,T-51429898,SOV,,NON TITLED,MM - MEDIAN MAJOR,N,2021-10-05,2025-08-29,1042.4568,5655713.099
99,FLN678,TREE,Deciduous,"ASH, GREEN",FRPE,FRAXINUS,PENNSYLVANICA,,11,LARGE,80,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51429974,FLN,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,1833.6906,5655716.623
100,FLI678,TREE,Deciduous,"ASH, GREEN",FRPE,FRAXINUS,PENNSYLVANICA,,4,LARGE,80,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51430047,FLI,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,3334.4879,5655719.097
101,SOV002,TREE,Deciduous,"ASPEN, QUAKING/TREMBLING",POTR1,POPULUS,TREMULOIDES,,7,MEDIUM,70,,25,N,ESTABLISH TREE,CALGARY PARKS,T-51429922,SOV,,NON TITLED,MM - MEDIAN MAJOR,N,2021-10-05,2025-08-29,900.8076,5655712.795
102,SOV678,TREE,Deciduous,"ELM, AMERICAN",ULAM,ULMUS,AMERICANA,,10,LARGE,90,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51412723,SOV,,NON TITLED,B - BLOCKSIDE,N,2021-12-12,2025-08-29,592.4363,5655714.563
103,SOV002,TREE,Deciduous,"ELM, AMERICAN",ULAM,ULMUS,AMERICANA,,4,LARGE,90,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51429944,SOV,,NON TITLED,MM - MEDIAN MAJOR,N,2021-10-05,2025-08-29,1156.5292,5655713.724
104,FLN678,TREE,Deciduous,"ELM, AMERICAN",ULAM,ULMUS,AMERICANA,,10,LARGE,90,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51430005,FLN,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,2574.0582,5655743.213
105,FLI678,TREE,Deciduous,"ASH, GREEN",FRPE,FRAXINUS,PENNSYLVANICA,,4,LARGE,80,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51430045,FLI,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,3324.1783,5655719.002
106,FLI678,TREE,Deciduous,"ELM, AMERICAN",ULAM,ULMUS,AMERICANA,,8,LARGE,90,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51430022,FLI,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,2820.655,5655715.877
107,SOV002,TREE,Deciduous,"ASH, GREEN",FRPE,FRAXINUS,PENNSYLVANICA,,8,LARGE,80,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51429940,SOV,,NON TITLED,MM - MEDIAN MAJOR,N,2021-10-05,2025-08-29,1123.7767,5655713.583
108,FLN678,TREE,Deciduous,"ELM, AMERICAN",ULAM,ULMUS,AMERICANA,,10,LARGE,90,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51430006,FLN,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,2581.3449,5655743.439
110,FLN678,TREE,Deciduous,"ELM, AMERICAN",ULAM,ULMUS,AMERICANA,,15,LARGE,90,,50,N,ESTABLISH TREE,CALGARY PARKS,T-51430019,FLN,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,2750.4489,5655746.43
111,FLI678,TREE,Deciduous,"ASH, GREEN",FRPE,FRAXINUS,PENNSYLVANICA,,7,LARGE,80,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51430012,FLI,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,2603.3597,5655715.763
112,SOV002,TREE,Deciduous,"ELM, AMERICAN",ULAM,ULMUS,AMERICANA,,4,LARGE,90,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51429943,SOV,,NON TITLED,MM - MEDIAN MAJOR,N,2021-10-05,2025-08-29,1149.5649,5655713.667
113,SOV002,TREE,Deciduous,"ASPEN, QUAKING/TREMBLING",POTR1,POPULUS,TREMULOIDES,,14,MEDIUM,70,687.72,63,N,ESTABLISH TREE,CALGARY PARKS,T-51429918,SOV,,NON TITLED,MM - MEDIAN MAJOR,N,2021-10-05,2025-08-29,844.1746,5655713.119
114,FLI678,TREE,Deciduous,"ASH, GREEN",FRPE,FRAXINUS,PENNSYLVANICA,,4,LARGE,80,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51430050,FLI,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,3350.6466,5655719.275
116,SOV002,TREE,Deciduous,"ELM, AMERICAN",ULAM,ULMUS,AMERICANA,,4,LARGE,90,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51429923,SOV,,NON TITLED,MM - MEDIAN MAJOR,N,2021-10-05,2025-08-29,1028.5282,5655713.174
117,ALB678,TREE,Deciduous,"ASH, GREEN",FRPE,FRAXINUS,PENNSYLVANICA,,4,LARGE,80,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51429929,ALB,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,1044.8983,5655743.546
118,FLN678,TREE,Deciduous,"ASH, GREEN",FRPE,FRAXINUS,PENNSYLVANICA,,8,LARGE,80,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51429976,FLN,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,1865.4261,5655716.746
119,SOV678,TREE,Deciduous,"ELM, AMERICAN",ULAM,ULMUS,AMERICANA,,10,LARGE,90,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51412721,SOV,,NON TITLED,B - BLOCKSIDE,N,2021-12-12,2025-08-29,607.4238,5655714.665
120,FLI678,TREE,Deciduous,"ASH, GREEN",FRPE,FRAXINUS,PENNSYLVANICA,,4,LARGE,80,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51430038,FLI,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,3202.8821,5655718.858
121,SOV002,TREE,Deciduous,"ASPEN, QUAKING/TREMBLING",POTR1,POPULUS,TREMULOIDES,,7,MEDIUM,70,,25,N,ESTABLISH TREE,CALGARY PARKS,T-51429921,SOV,,NON TITLED,MM - MEDIAN MAJOR,N,2021-10-05,2025-08-29,897.0765,5655712.961
122,ALB678,TREE,Deciduous,"ASH, GREEN",FRPE,FRAXINUS,PENNSYLVANICA,,8,LARGE,80,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51429927,ALB,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,1034.273,5655743.744
123,SOV678,TREE,Deciduous,"ELM, AMERICAN",ULAM,ULMUS,AMERICANA,,9,LARGE,90,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51412724,SOV,,NON TITLED,B - BLOCKSIDE,N,2021-12-12,2025-08-29,585.8648,5655714.418
125,FLN678,TREE,Deciduous,"ASH, GREEN",FRPE,FRAXINUS,PENNSYLVANICA,,7,LARGE,80,565,75,N,ESTABLISH TREE,CALGARY PARKS,T-51429972,FLN,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,1833.1964,5655745.856
126,PEN678,TREE,Deciduous,"ELM, AMERICAN",ULAM,ULMUS,AMERICANA,,7,LARGE,90,,41,N,ESTABLISH TREE,CALGARY PARKS,T-51430033,PEN,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,3049.8621,5655746.486
128,FLN678,TREE,Deciduous,"ASH, GREEN",FRPE,FRAXINUS,PENNSYLVANICA,,8,LARGE,80,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51429959,FLN,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,1469.7667,5655716.774
129,FLI678,TREE,Deciduous,"ASH, GREEN",FRPE,FRAXINUS,PENNSYLVANICA,,4,LARGE,80,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51430042,FLI,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,3282.6313,5655718.697
130,FLI678,TREE,Deciduous,"ELM, AMERICAN",ULAM,ULMUS,AMERICANA,,10,LARGE,90,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51430023,FLI,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,2827.5071,5655715.881
131,SOV004,TREE,Deciduous,"ASPEN, QUAKING/TREMBLING",POTR1,POPULUS,TREMULOIDES,,7,MEDIUM,70,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51429900,SOV,,NON TITLED,BVM - BOULEVARD MAJOR,N,2021-10-05,2025-08-29,677.1928,5655715.119
