OBJECTID,TREE_ASSET_CD,ASSET_TYPE,ASSET_SUBTYPE,COMMON_NAME,HORT_CODE,GENUS,SPECIES,CULTIVAR,DBH_CM,MATURE_SIZE,RATING,APPRAISED_VALUE,TREE_CONDITION_RATING_PERC,HERITAGE_TREES,TREE_MAINTENANCE,MAINTAINED_BY,WAM_ID,COMM_CODE,LOCATION_DETAIL,SITE_ELEMENT_TYPE_DESCRIPTION,SITE_ELEMENT_MINORTYPE,HARDWARE,ACTIVE_DT,MODIFIED_DT,X_Point,Y_Point
1,FLN678,TREE,Deciduous,"ELM, BRANDON",ULAMBR,ULMUS,AMERICANA,BRANDON,4,LARGE,100,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51437471,FLN,,NON TITLED,B - BLOCKSIDE,N,,2025-08-29,1532.5013,5655716.859
2,FLN678,TREE,Deciduous,"ELM, BRANDON",ULAMBR,ULMUS,AMERICANA,BRANDON,4,LARGE,100,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51437472,FLN,,NON TITLED,B - BLOCKSIDE,N,,2025-08-29,1534.4019,5655716.926
3,FLN678,TREE,Deciduous,"ELM, BRANDON",ULAMBR,ULMUS,AMERICANA,BRANDON,4,LARGE,100,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51437470,FLN,,NON TITLED,B - BLOCKSIDE,N,,2025-08-29,1531.2389,5655716.814
6,FLI678,TREE,Deciduous,MAYDAY,PRPACO,PRUNUS,PADUS,COMMUTATA,20,MEDIUM,60,1150.74,63,N,ESTABLISH TREE,CALGARY PARKS,T-32471249,FLI,5115,NON TITLED,B - BLOCKSIDE,N,,2025-08-29,2716.8248,5655697.256
7,ALB678,TREE,Deciduous,"ASH, PRAIRIE SPIRE",FRPEPR,FRAXINUS,PENNSYLVANICA,RUGBY,5,LARGE,80,565,75,N,ESTABLISH TREE,CALGARY PARKS,T-51454888,ALB,3504 17 AV SE,NON TITLED,B - BLOCKSIDE,N,2023-08-09,2025-08-29,1113.3834,5655743.782
9,FLI678,TREE,Deciduous,"CHOKECHERRY, SCHUBERT",PRVISH,PRUNUS,VIRGINIANA,SCHUBERT,18,SMALL,70,1035.66,60,N,ESTABLISH TREE,CALGARY PARKS,T-32470704,FLI,48 ST SE,NON TITLED,B - BLOCKSIDE,N,,2025-08-29,2510.91,5655699.988
10,FLI678,TREE,Deciduous,"CHOKECHERRY, SCHUBERT",PRVISH,PRUNUS,VIRGINIANA,SCHUBERT,18,SMALL,70,1035.66,60,N,ESTABLISH TREE,CALGARY PARKS,T-32470705,FLI,48 ST SE,NON TITLED,B - BLOCKSIDE,N,,2025-09-04,2510.8929,5655706.295
16,FLI678,TREE,Deciduous,"CRABAPPLE, SPRING SNOW",MAXSS,MALUS,,SPRING SNOW,12,MEDIUM,80,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51430026,FLI,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,2882.0011,5655715.633
22,PEN678,TREE,Deciduous,"CRABAPPLE, SPRING SNOW",MAXSS,MALUS,,SPRING SNOW,14,MEDIUM,80,763.18,63,N,ESTABLISH TREE,CALGARY PARKS,T-51430027,PEN,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,2958.5064,5655746.456
24,FLI678,TREE,Deciduous,"CRABAPPLE, SPRING SNOW",MAXSS,MALUS,,SPRING SNOW,14,MEDIUM,80,751.79,63,N,ESTABLISH TREE,CALGARY PARKS,T-51430025,FLI,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,2878.5856,5655715.631
27,PEN678,TREE,Deciduous,"CRABAPPLE, SPRING SNOW",MAXSS,MALUS,,SPRING SNOW,14,MEDIUM,80,763.18,63,N,ESTABLISH TREE,CALGARY PARKS,T-51430028,PEN,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,2961.978,5655746.458
30,FLI678,TREE,Deciduous,"CRABAPPLE, SPRING SNOW",MAXSS,MALUS,,SPRING SNOW,14,MEDIUM,80,751.79,63,N,ESTABLISH TREE,CALGARY PARKS,T-51430024,FLI,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,2874.6651,5655715.629
33,PEN678,TREE,Deciduous,"CRABAPPLE, SPRING SNOW",MAXSS,MALUS,,SPRING SNOW,13,MEDIUM,80,658.05,63,N,ESTABLISH TREE,CALGARY PARKS,T-51430029,PEN,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,2965.8074,5655746.382
35,FLN678,TREE,Deciduous,"ASH, GREEN",FRPE,FRAXINUS,PENNSYLVANICA,,4,LARGE,80,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51429978,FLN,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,1880.554,5655716.751
36,SOV002,TREE,Deciduous,"ELM, AMERICAN",ULAM,ULMUS,AMERICANA,,10,LARGE,90,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51429942,SOV,,NON TITLED,MM - MEDIAN MAJOR,N,2021-10-05,2025-08-29,1142.4955,5655713.465
37,FLI678,TREE,Deciduous,"ASH, GREEN",FRPE,FRAXINUS,PENNSYLVANICA,,8,LARGE,80,565,75,N,ESTABLISH TREE,CALGARY PARKS,T-51430040,FLI,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,3254.0659,5655718.601
38,PEN678,TREE,Deciduous,"ASH, GREEN",FRPE,FRAXINUS,PENNSYLVANICA,,7,LARGE,80,565,66,N,ESTABLISH TREE,CALGARY PARKS,T-51430030,PEN,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,3012.495,5655746.576
39,FLN678,TREE,Deciduous,"ASH, GREEN",FRPE,FRAXINUS,PENNSYLVANICA,,4,LARGE,80,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51429963,FLN,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,1628.2128,5655716.855
41,FLN678,TREE,Deciduous,"ASH, GREEN",FRPE,FRAXINUS,PENNSYLVANICA,,16,LARGE,80,996.82,63,N,ESTABLISH TREE,CALGARY PARKS,T-51429982,FLN,,NON TITLED,B - BLOCKSIDE,N,2021-10-05,2025-08-29,2241.3306,5655745.183
42,SOV004,TREE,Deciduous,"ASPEN, QUAKING/TREMBLING",POTR1,POPULUS,TREMULOIDES,,7,MEDIUM,70,565,63,N,ESTABLISH TREE,CALGARY PARKS,T-51429902,SOV,,NON TITLED,BVM - BOULEVARD MAJOR,N,2021-10-05,2025-08-29,680.5241,5655716.053
