OBJECTID,FULL_NAME,Has_MAX_BRT,Shape_Length,SIDEWALK_AREA,SIDEWALK_WIDTH,HOV,IMPACTED,BLOCK_ID,INTEGRATED_LU,GREEN_BUFFER,Start_X,Start_Y,End_X,End_Y
43,17 AV SE,Yes,0.499906121,1.93245,3.9,Yes,,1,Yes,,523.2276,5655737.767,522.7278,5655737.777
44,17 AV SE,Yes,0.5000061,1.932486422,3.9,Yes,,1,Yes,,523.7275,5655737.756,523.2276,5655737.767
45,17 AV SE,Yes,0.50000817,1.932086339,3.9,Yes,,1,Yes,,524.2274,5655737.746,523.7275,5655737.756
46,17 AV SE,Yes,0.5000061,1.931707285,3.9,Yes,,1,,,524.7273,5655737.736,524.2274,5655737.746
47,17 AV SE,Yes,0.500006099,1.931336191,3.9,Yes,,1,,,525.2272,5655737.725,524.7273,5655737.736
48,17 AV SE,Yes,0.5000061,1.930957136,3.9,Yes,,1,,,525.7271,5655737.715,525.2272,5655737.725
49,17 AV SE,Yes,0.50000817,1.930615061,3.9,Yes,,1,,,526.227,5655737.705,525.7271,5655737.715
50,17 AV SE,Yes,0.5000061,1.930449984,3.9,Yes,,1,,,526.7269,5655737.694,526.227,5655737.705
51,17 AV SE,Yes,0.5000061,1.929885899,3.9,Yes,,1,,,527.2268,5655737.684,526.7269,5655737.694
52,17 AV SE,Yes,0.5000061,1.92948582,3.9,Yes,,1,,,527.7267,5655737.674,527.2268,5655737.684
53,17 AV SE,Yes,0.500006099,1.929106773,3.9,Yes,,1,,,528.2266,5655737.664,527.7267,5655737.674
54,17 AV SE,Yes,0.50000817,1.928735669,3.9,Yes,,1,,,528.7265,5655737.653,528.2266,5655737.664
55,17 AV SE,Yes,0.5000061,1.928356625,3.9,Yes,,1,,,529.2264,5655737.643,528.7265,5655737.653
56,17 AV SE,Yes,0.5000061,1.928014494,3.9,Yes,,1,,,529.7263,5655737.633,529.2264,5655737.643
57,17 AV SE,Yes,0.5000061,1.927948047,3.9,Yes,,1,,,530.2262,5655737.622,529.7263,5655737.633
58,17 AV SE,Yes,0.499906121,1.9288889,3.9,Yes,,1,,,530.726,5655737.612,530.2262,5655737.622
59,17 AV SE,Yes,0.50000817,1.931316615,3.9,Yes,,1,,,531.2259,5655737.602,530.726,5655737.612
60,17 AV SE,Yes,0.5000061,1.93594726,3.9,Yes,,1,,,531.7258,5655737.591,531.2259,5655737.602
61,17 AV SE,Yes,0.5000061,1.951819349,3.9,Yes,,1,,,532.2257,5655737.581,531.7258,5655737.591
62,17 AV SE,Yes,0.500006099,1.969425448,3.9,Yes,,1,,,532.7256,5655737.571,532.2257,5655737.581
63,17 AV SE,Yes,0.50000817,2.003198334,4,Yes,,1,,,533.2255,5655737.56,532.7256,5655737.571
64,17 AV SE,Yes,0.5000061,2.04126318,4.1,Yes,,1,,,533.7254,5655737.55,533.2255,5655737.56
65,17 AV SE,Yes,0.5000061,2.079591,4.2,Yes,,1,,,534.2253,5655737.54,533.7254,5655737.55
66,17 AV SE,Yes,0.5000061,2.118573699,4.2,Yes,,1,,,534.7252,5655737.529,534.2253,5655737.54
67,17 AV SE,Yes,0.5000061,2.163321691,4.3,Yes,,1,,,535.2251,5655737.519,534.7252,5655737.529
68,17 AV SE,Yes,0.500008169,2.175093881,4.4,Yes,,1,,,535.725,5655737.509,535.2251,5655737.519
69,17 AV SE,Yes,0.5000061,2.152056861,4.3,Yes,,1,,,536.2249,5655737.498,535.725,5655737.509
70,17 AV SE,Yes,0.5000061,2.12916176,4.3,Yes,,1,,,536.7248,5655737.488,536.2249,5655737.498
71,17 AV SE,Yes,0.5000061,2.113980794,4.2,Yes,,1,,,537.2247,5655737.478,536.7248,5655737.488
72,17 AV SE,Yes,0.5000061,2.114680202,4.2,Yes,,1,,,537.7246,5655737.467,537.2247,5655737.478
73,17 AV SE,Yes,0.499908191,2.11511758,4.2,Yes,,1,,,538.2244,5655737.457,537.7246,5655737.467
74,17 AV SE,Yes,0.5000061,2.116460905,4.2,Yes,,1,,,538.7243,5655737.447,538.2244,5655737.457
75,17 AV SE,Yes,0.5000061,2.116996609,4.2,Yes,,1,,,539.2242,5655737.436,538.7243,5655737.447
76,17 AV SE,Yes,0.5000061,2.105066781,4.2,Yes,,1,,,539.7241,5655737.426,539.2242,5655737.436
77,17 AV SE,Yes,0.50000817,2.082393615,4.2,Yes,,1,,,540.224,5655737.416,539.7241,5655737.426
78,17 AV SE,Yes,0.500006099,2.060553884,4.1,Yes,,1,,,540.7239,5655737.405,540.224,5655737.416
79,17 AV SE,Yes,0.5000061,2.03795853,4.1,Yes,,1,,,541.2238,5655737.395,540.7239,5655737.405
80,17 AV SE,Yes,0.5000061,2.014641241,4,Yes,,1,,,541.7237,5655737.385,541.2238,5655737.395
81,17 AV SE,Yes,0.5000061,1.96373098,3.9,Yes,,1,,,542.2236,5655737.375,541.7237,5655737.385
82,17 AV SE,Yes,0.50000817,1.901279395,3.8,Yes,,1,,,542.7235,5655737.364,542.2236,5655737.375
83,17 AV SE,Yes,0.500006099,1.838943186,3.7,Yes,,1,,,543.2234,5655737.354,542.7235,5655737.364
84,17 AV SE,Yes,0.5000061,1.782155709,3.6,Yes,,1,,,543.7233,5655737.344,543.2234,5655737.354
85,17 AV SE,Yes,0.5000061,1.772345886,3.5,Yes,Yes,1,,,544.2232,5655737.333,543.7233,5655737.344
86,17 AV SE,Yes,0.5000061,1.77179831,3.5,Yes,Yes,1,,,544.7231,5655737.323,544.2232,5655737.333
87,17 AV SE,Yes,0.50000817,1.77142737,3.5,Yes,Yes,1,,,545.223,5655737.313,544.7231,5655737.323
88,17 AV SE,Yes,0.5000061,1.771536481,3.5,Yes,Yes,1,,,545.7229,5655737.302,545.223,5655737.313
89,17 AV SE,Yes,0.499906121,1.771149475,3.5,Yes,Yes,1,,,546.2227,5655737.292,545.7229,5655737.302
90,17 AV SE,Yes,0.5000061,1.771450069,3.5,Yes,Yes,1,,,546.7226,5655737.282,546.2227,5655737.292
91,17 AV SE,Yes,0.50000817,1.771231736,3.5,Yes,Yes,1,,,547.2225,5655737.271,546.7226,5655737.282
92,17 AV SE,Yes,0.5000061,1.771499011,3.5,Yes,Yes,1,,,547.7224,5655737.261,547.2225,5655737.271
93,17 AV SE,Yes,0.500006099,1.771154689,3.5,Yes,Yes,1,,,548.2223,5655737.251,547.7224,5655737.261
