OBJECTID,BLDG_CODE,BLDG_CODE_DESC,X_COORD,Y_COORD,OBSCURED,CREATE_DT_UTC,MOD_DT_UTC,multipolygon,Shape_Length,Shape_Area
310,10,Religious,-4580.31,5659006.14,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0653965 51.067094, -114.0653966 51.0670893, -114.0652143 51.0670904, -114.0652142 51.067098, -114.065179 51.0670974, -114.0651787 51.0671024, -114.0651752 51.0671815, -114.0652147 51.0671822, -114.0652163 51.0672938, -114.065179 51.0672949, -114.0651817 51.0673359, -114.0652197 51.0673348, -114.0652221 51.0673959, -114.0651462 51.0673963, -114.0651457 51.0674757, -114.065225 51.0674758, -114.0655831 51.0674745, -114.0655824 51.0673985, -114.0654093 51.0673992, -114.0654081 51.0672722, -114.0653997 51.0672722, -114.0653988 51.0671807, -114.0654324 51.0671805, -114.0654319 51.0671318, -114.0654338 51.0670938, -114.0653965 51.067094)))",162.7119665,770.0643495
311,14,Unclassified,-7299.8,5658904.02,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.104212 51.0665747, -114.104212 51.0665884, -114.1042125 51.0665884, -114.1043351 51.0665884, -114.1043351 51.0665794, -114.1043403 51.0665794, -114.10435 51.0665664, -114.1043519 51.0665636, -114.1043539 51.0665604, -114.1043552 51.0665579, -114.1043567 51.0665553, -114.1043588 51.0665511, -114.1043589 51.066551, -114.1043652 51.0665389, -114.1043683 51.0665326, -114.1043696 51.0665296, -114.1043708 51.0665269, -114.1043722 51.0665234, -114.1043736 51.0665199, -114.1043749 51.0665164, -114.1043764 51.0665123, -114.1043781 51.0665073, -114.1043799 51.0665017, -114.1043813 51.066497, -114.1043827 51.0664926, -114.1043838 51.0664886, -114.1043849 51.0664846, -114.1043858 51.0664811, -114.1043866 51.0664774, -114.1043873 51.0664742, -114.1043879 51.0664711, -114.1043884 51.066468, -114.1043888 51.0664651, -114.1043892 51.066462, -114.1043894 51.0664591, -114.1043897 51.0664549, -114.1043899 51.06645, -114.10439 51.066445, -114.1043901 51.0664397, -114.1043902 51.0664276, -114.10439 51.0664162, -114.1043897 51.0664047, -114.1043895 51.0664009, -114.1043893 51.0663977, -114.104389 51.0663947, -114.1043887 51.0663917, -114.1043883 51.0663891, -114.1043878 51.0663864, -114.1043872 51.0663839, -114.1043865 51.0663814, -114.1043854 51.066378, -114.1043827 51.0663703, -114.1043777 51.0663547, -114.1043761 51.0663494, -114.1043716 51.0663337, -114.1043644 51.0663224, -114.1043633 51.0663224, -114.1042726 51.0663227, -114.1042725 51.0662987, -114.1042725 51.0662977, -114.1042723 51.0661387, -114.1042914 51.0661387, -114.1042913 51.0661089, -114.1039538 51.066109, -114.1039538 51.0661397, -114.1039719 51.0661397, -114.1039722 51.0663575, -114.103935 51.0663575, -114.1039351 51.0664328, -114.1039567 51.0664328, -114.1039569 51.0665457, -114.1039569 51.0665636, -114.1039639 51.0665636, -114.104212 51.0665635, -114.104212 51.0665736, -114.104212 51.0665747)))",171.1303242,1338.07342
312,14,Unclassified,-7395.43,5658932.49,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.1055844 51.0665876, -114.1055843 51.0665788, -114.1055842 51.0665725, -114.1055959 51.0665725, -114.1055959 51.0665718, -114.1055956 51.0665357, -114.1055861 51.0665357, -114.105586 51.0665322, -114.105586 51.0665293, -114.1054586 51.0665297, -114.1054598 51.0666526, -114.1054641 51.0666526, -114.1055863 51.0666521, -114.105586 51.0666266, -114.1055857 51.0665984, -114.1055844 51.0665876)))",46.61736146,123.9805035
313,14,Unclassified,-7411.36,5658930.38,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.1058093 51.0665305, -114.1057 51.0665304, -114.1057 51.066532, -114.1056999 51.0666131, -114.1058093 51.0666131, -114.1058093 51.0665305)))",33.71637145,70.46428305
314,14,Unclassified,-4842.1,5658936.94,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0692707 51.0667561, -114.0692712 51.0665601, -114.0689534 51.0665618, -114.0689547 51.0666561, -114.0689256 51.0666563, -114.0689266 51.0667303, -114.0689475 51.0667456, -114.06907 51.0667449, -114.0690854 51.0667548, -114.0692223 51.0667558, -114.0692707 51.0667561)))",90.20259491,488.8633116
315,14,Unclassified,-6743.8,5658944.2,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0961554 51.0666796, -114.09615 51.0667205, -114.0963059 51.0667288, -114.0963113 51.0666879, -114.0961554 51.0666796)))",31.06262798,50.06349729
316,14,Unclassified,-6350.68,5658993.22,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0906996 51.0671012, -114.0906966 51.0670927, -114.0906922 51.067088, -114.0906817 51.0670802, -114.0906713 51.0670755, -114.090656 51.0670737, -114.0906246 51.0670732, -114.0905873 51.0670733, -114.0905722 51.0670762, -114.0905573 51.0670845, -114.0905499 51.0670905, -114.0905469 51.0670991, -114.0905459 51.0671936, -114.0905481 51.0672048, -114.0905535 51.0672127, -114.0905606 51.0672185, -114.0905718 51.0672236, -114.0905855 51.067226, -114.0906626 51.0672252, -114.0906693 51.0672241, -114.0906793 51.0672201, -114.0906892 51.0672141, -114.0906965 51.067206, -114.0906996 51.0672006, -114.0906996 51.0671012)))",49.76165725,172.4564788
317,14,Unclassified,-6525.3,5659000.35,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0932519 51.0672528, -114.093267 51.0672527, -114.0932658 51.0671809, -114.0932519 51.067181, -114.0932516 51.067181, -114.0932488 51.0671811, -114.0930957 51.0671821, -114.0930954 51.0671686, -114.0929981 51.0671693, -114.0929982 51.0671725, -114.0929614 51.0671727, -114.0929625 51.0672333, -114.0930051 51.067233, -114.0930055 51.0672545, -114.0932519 51.0672528)))",61.61682625,176.230018
318,2,Commercial,-6351.45,5658865.39,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0902593 51.0663188, -114.0903407 51.0663188, -114.0903392 51.0664016, -114.0903361 51.0665703, -114.0903723 51.0665708, -114.0903733 51.066593, -114.0905568 51.0665933, -114.0905629 51.0665933, -114.0906357 51.0665934, -114.0906455 51.0665935, -114.0907342 51.0665936, -114.0907407 51.0665936, -114.0908144 51.0665938, -114.0908211 51.0665938, -114.090906 51.0665939, -114.0909062 51.0665286, -114.0909063 51.0664867, -114.0910304 51.0664885, -114.0910294 51.0665276, -114.0910291 51.0665384, -114.0911111 51.0665383, -114.0911204 51.0665383, -114.0911883 51.0665383, -114.091196 51.0665383, -114.0912957 51.0665382, -114.0913027 51.0665382, -114.0914505 51.0665381, -114.0914587 51.0665381, -114.0916401 51.066538, -114.0916443 51.066538, -114.0917226 51.0665379, -114.0917278 51.0665379, -114.0919582 51.0665377, -114.0919605 51.0665377, -114.0920251 51.0665377, -114.0920339 51.0665377, -114.0920892 51.0665376, -114.0920896 51.0665285, -114.0920914 51.0664861, -114.0922055 51.0664871, -114.0922065 51.0665263, -114.0922068 51.0665376, -114.0922568 51.0665375, -114.0922629 51.0665375, -114.0923188 51.0665375, -114.0923272 51.0665375, -114.0924519 51.0665374, -114.0924632 51.0665374, -114.0925231 51.0665374, -114.0925323 51.0665374, -114.0927038 51.0665372, -114.0927602 51.0665372, -114.0929211 51.0665371, -114.0929261 51.0665371, -114.0930202 51.0665371, -114.0930185 51.0665225, -114.0932357 51.0665217, -114.0932357 51.0665171, -114.0932357 51.0665121, -114.0932357 51.0664743, -114.0932359 51.0663547, -114.0932445 51.0663546, -114.0932422 51.0661081, -114.0931094 51.0661092, -114.0931103 51.0660919, -114.0929228 51.0660927, -114.0929228 51.0660955, -114.0929237 51.0661421, -114.0929242 51.0661686, -114.0926154 51.0661706, -114.0926122 51.0661707, -114.0926132 51.0661896, -114.0925296 51.0661893, -114.0925298 51.0661279, -114.0924271 51.0661278, -114.092368 51.0661278, -114.0922494 51.0661277, -114.0921953 51.0661277, -114.0921723 51.0661277, -114.0921677 51.0661277, -114.0921691 51.0661496, -114.0920885 51.0661496, -114.0920781 51.0661496, -114.0920306 51.0661497, -114.0919929 51.0661497, -114.0918501 51.0661497, -114.0917744 51.0661497, -114.0916113 51.0661498, -114.0914777 51.0661498, -114.0912837 51.0661499, -114.0910127 51.0661499, -114.0910107 51.0661046, -114.0909084 51.066105, -114.0909083 51.0660136, -114.0909283 51.0660134, -114.0909281 51.0660047, -114.0910226 51.0660062, -114.0910232 51.0659607, -114.0910232 51.065956, -114.0909035 51.0659555, -114.0909022 51.065652, -114.0909015 51.0654864, -114.0903811 51.0654872, -114.0903799 51.0654066, -114.0902397 51.0654074, -114.0902399 51.0657313, -114.0902402 51.0663188, -114.0902593 51.0663188)))",750.1970208,12742.53999
319,2,Commercial,-4479.74,5658911.27,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.063652 51.0665579, -114.0635385 51.0665577, -114.0633619 51.0665574, -114.0633616 51.0666399, -114.0630579 51.0666394, -114.0630583 51.066538, -114.0631339 51.0665381, -114.0631343 51.0664187, -114.0631323 51.0664187, -114.0629484 51.0664184, -114.0629487 51.0663367, -114.0629213 51.0663367, -114.0629217 51.0662463, -114.0630102 51.0662464, -114.0630102 51.0662432, -114.0631039 51.0662434, -114.0631044 51.0661229, -114.0631045 51.066099, -114.0630959 51.066099, -114.0627402 51.0660992, -114.0627421 51.066244, -114.0627399 51.066244, -114.0627433 51.0664189, -114.06274 51.0664189, -114.0627397 51.066538, -114.0627452 51.0665381, -114.0627459 51.0665618, -114.062741 51.0665618, -114.0627421 51.0666285, -114.0627425 51.0666386, -114.0627661 51.0666395, -114.0627719 51.0666567, -114.0627886 51.0666778, -114.0628047 51.0666912, -114.0628372 51.0667052, -114.0628623 51.0667112, -114.0628813 51.0667112, -114.0629796 51.0667112, -114.0629797 51.0667344, -114.063123 51.0667343, -114.0631231 51.0667471, -114.0631692 51.0667471, -114.0631692 51.0667547, -114.0632168 51.0667546, -114.0632168 51.066761, -114.0633952 51.0667609, -114.0633952 51.0667534, -114.0635577 51.0667533, -114.0635577 51.0667624, -114.0640961 51.0667613, -114.0641887 51.066761, -114.0641887 51.0667607, -114.0641887 51.066752, -114.0642027 51.066752, -114.0642027 51.0667594, -114.0642064 51.0667594, -114.0642054 51.0665535, -114.0642047 51.066417, -114.0642511 51.0664169, -114.0642507 51.0663342, -114.0642486 51.0661658, -114.0641573 51.0661664, -114.0641583 51.0663062, -114.0641585 51.0663331, -114.0636511 51.0663339, -114.0636506 51.066334, -114.063652 51.0665579)))",501.4809951,4166.839347
320,2,Commercial,-4650.92,5658930.65,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0663412 51.0667491, -114.0663416 51.0667608, -114.0663417 51.066762, -114.0663869 51.0667623, -114.0663869 51.0667607, -114.0663871 51.0667526, -114.0665055 51.0667528, -114.0665056 51.0666605, -114.06651 51.0666605, -114.0665104 51.066627, -114.0665054 51.066627, -114.0665057 51.0665839, -114.066512 51.066579, -114.0665191 51.066579, -114.0672852 51.0665766, -114.0672933 51.0665765, -114.0672933 51.0665317, -114.0672961 51.0665317, -114.067296 51.0664985, -114.0672922 51.0664985, -114.0672921 51.0664605, -114.0668729 51.0664607, -114.0663775 51.066461, -114.0663266 51.066461, -114.0663266 51.066444, -114.0662552 51.0664441, -114.0662552 51.0664608, -114.0662368 51.0664608, -114.0662353 51.0664608, -114.0662356 51.0667355, -114.0662357 51.0667531, -114.066236 51.0667577, -114.066255 51.0667583, -114.0662551 51.0667509, -114.0663412 51.0667491)))",221.3008077,1347.081496
321,2,Commercial,-7581.24,5658931.43,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.1080931 51.0664655, -114.1080928 51.0665854, -114.1080741 51.0665854, -114.108074 51.0665911, -114.1081086 51.0665912, -114.1081085 51.0666249, -114.1080901 51.0666248, -114.10809 51.0666923, -114.1081907 51.0666924, -114.1081907 51.0666801, -114.1082818 51.0666802, -114.1082824 51.0664657, -114.1082784 51.0664657, -114.1080931 51.0664655)))",82.19492464,323.9789985
322,2,Commercial,-4585.29,5658936.52,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0656954 51.0667536, -114.0656971 51.0667509, -114.0656971 51.0666906, -114.0656971 51.0666649, -114.0656971 51.0665592, -114.0656892 51.0665547, -114.0651786 51.0665548, -114.065171 51.0665597, -114.0651718 51.0667105, -114.0651709 51.0667584, -114.065693 51.0667572, -114.0656954 51.0667536)))",118.0760709,831.8747352
323,2,Commercial,-4753.97,5658937.48,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.067676 51.0667527, -114.0676825 51.0667527, -114.0680592 51.0667541, -114.0680587 51.0666378, -114.0677915 51.0666383, -114.0677912 51.0665733, -114.0676518 51.0665735, -114.0676519 51.066584, -114.0676227 51.0665841, -114.0676233 51.0667197, -114.0676759 51.0667196, -114.067676 51.0667527)))",101.1927704,460.564541
324,11,School Colleges,-6063.01,5658888.19,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0865723 51.0666544, -114.0865821 51.0666292, -114.0865886 51.0666297, -114.0866251 51.0665508, -114.0866322 51.0665354, -114.0866665 51.0665356, -114.0866765 51.0665598, -114.0866891 51.0665901, -114.0866895 51.0665911, -114.0868308 51.0665917, -114.0868308 51.0665901, -114.0868307 51.0665364, -114.0870597 51.0665387, -114.0871505 51.0663396, -114.0871539 51.0663321, -114.0871517 51.0663266, -114.0870693 51.0661229, -114.0867692 51.0661207, -114.0867538 51.0661543, -114.0867572 51.066155, -114.0867559 51.0661594, -114.0863941 51.0660564, -114.0863975 51.0660041, -114.086375 51.0660005, -114.0864732 51.0657843, -114.0863312 51.0657587, -114.0863378 51.0657443, -114.0862945 51.0657365, -114.0862882 51.0657506, -114.0861487 51.0657254, -114.0860878 51.0658597, -114.0860814 51.0658738, -114.0859164 51.0662373, -114.08623 51.0662938, -114.0861159 51.0665451, -114.0861252 51.0665468, -114.0860971 51.0666085, -114.0865579 51.0666915, -114.0865723 51.0666544)))",372.8553561,4877.593188
325,11,School Colleges,-6242.03,5658890.43,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0897095 51.0663525, -114.0894868 51.0663529, -114.0894864 51.0662505, -114.089592 51.0662503, -114.0895914 51.0661066, -114.0895899 51.0657721, -114.0895898 51.0657393, -114.0895737 51.0657393, -114.0885473 51.0657411, -114.0885496 51.0662532, -114.0887298 51.0662529, -114.0887303 51.066348, -114.0874012 51.0663504, -114.087379 51.0663504, -114.0873486 51.0663505, -114.0873502 51.0667147, -114.0874037 51.0667146, -114.089718 51.0667105, -114.0897198 51.0667105, -114.0897198 51.0667091, -114.0897182 51.0663525, -114.0897095 51.0663525)))",588.3670759,11440.50093
326,2,Commercial,-5375.96,5659001.59,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0768236 51.0670821, -114.0767429 51.0670822, -114.0767023 51.0670683, -114.0766583 51.0670694, -114.0766237 51.0670823, -114.0766076 51.0670823, -114.0766083 51.0673963, -114.0768243 51.0673961, -114.0768243 51.0673947, -114.0768236 51.0670821)))",100.9246744,537.3139338
327,2,Commercial,-5333.19,5659001.37,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0761068 51.0673952, -114.0763227 51.0673956, -114.0763227 51.0673951, -114.0763219 51.0671302, -114.0763501 51.0671303, -114.0763504 51.0671023, -114.0763503 51.0670998, -114.0763496 51.0670968, -114.0763489 51.0670948, -114.0763483 51.0670932, -114.0763474 51.0670906, -114.0763456 51.0670894, -114.0763441 51.0670876, -114.0763427 51.0670862, -114.0763411 51.0670843, -114.0763407 51.0670839, -114.0763387 51.0670827, -114.0763366 51.0670814, -114.0763348 51.0670797, -114.0763319 51.0670784, -114.0763293 51.067077, -114.076327 51.0670758, -114.0763248 51.0670746, -114.0763203 51.0670735, -114.0763129 51.0670717, -114.0763088 51.0670707, -114.0763037 51.0670701, -114.0762953 51.0670702, -114.0757825 51.0670728, -114.0757842 51.0671639, -114.0756915 51.0671642, -114.0756902 51.0672451, -114.0758229 51.0672445, -114.0758231 51.0672332, -114.0758696 51.0672332, -114.0758712 51.0671505, -114.0758888 51.0671501, -114.0758892 51.0672511, -114.0761068 51.067251, -114.0761068 51.0673952)))",183.9922431,1042.612159
328,2,Commercial,-4446.4,5658997.14,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0636087 51.0672877, -114.0636245 51.0672878, -114.0636247 51.067244, -114.0636054 51.067244, -114.063606 51.0670951, -114.0636032 51.0670951, -114.0636032 51.0670835, -114.0634667 51.0670832, -114.0634653 51.0670832, -114.0634653 51.0670961, -114.0634631 51.0670961, -114.063463 51.0671332, -114.0633973 51.0671331, -114.0633973 51.0671249, -114.0633673 51.0671249, -114.0633673 51.0671343, -114.0633015 51.0671342, -114.0633007 51.0673215, -114.0634626 51.0673218, -114.0634628 51.0672875, -114.0636087 51.0672877)))",100.2653522,472.4375252
329,2,Commercial,-5642.29,5658993.51,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0804408 51.067076, -114.0804459 51.0672446, -114.0805908 51.0672428, -114.0805857 51.0670742, -114.0804408 51.067076)))",57.83227365,190.5443417
330,2,Commercial,-5550.12,5658999.03,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0790696 51.0673413, -114.0792731 51.0673406, -114.0792731 51.0672152, -114.0793021 51.067216, -114.0793321 51.0671872, -114.0793314 51.0671045, -114.0793051 51.067104, -114.0793057 51.0670782, -114.079136 51.0670794, -114.0791358 51.0670821, -114.0791346 51.0671051, -114.0791121 51.067106, -114.0791135 51.0671365, -114.0790693 51.0671365, -114.0790696 51.0673413)))",93.60274961,446.1761665
331,2,Commercial,-5807.72,5658995.49,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0827811 51.0670762, -114.0827811 51.0672451, -114.0828066 51.0672451, -114.0828067 51.0672754, -114.0828766 51.067275, -114.0828775 51.0672451, -114.0829014 51.0672451, -114.0829708 51.0672451, -114.0829708 51.0671065, -114.0829708 51.0670919, -114.0829708 51.0670823, -114.0829708 51.0670762, -114.0827811 51.0670762)))",70.7954652,266.3266248
332,2,Commercial,-5466.36,5659002.12,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0774744 51.0673886, -114.0775077 51.0673892, -114.077513 51.0673893, -114.077513 51.0673622, -114.077695 51.0673612, -114.0776958 51.0673939, -114.0776963 51.0673939, -114.0777134 51.0673939, -114.0785378 51.0673949, -114.0785382 51.0673916, -114.078534 51.0673917, -114.078534 51.0671785, -114.0785375 51.0671784, -114.0785376 51.0671741, -114.0784861 51.0671734, -114.0784854 51.0671323, -114.0779923 51.0671316, -114.0779926 51.067173, -114.0779885 51.067173, -114.077906 51.0671732, -114.0778536 51.0671734, -114.0778532 51.0671675, -114.0777881 51.0671656, -114.0777885 51.0671721, -114.0777132 51.067174, -114.0776988 51.0671744, -114.0776964 51.0671162, -114.077695 51.067082, -114.0776934 51.067082, -114.0774766 51.067083, -114.077478 51.0673358, -114.0774737 51.0673358, -114.0774744 51.0673886)))",235.4516068,2092.972075
333,2,Commercial,-5405.78,5658998.96,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.077148 51.0672221, -114.077148 51.0671991, -114.0772358 51.0671991, -114.0772358 51.0670831, -114.0770468 51.0670831, -114.0770468 51.0671987, -114.0770542 51.0671987, -114.0770542 51.0673383, -114.077148 51.0673383, -114.077148 51.0672221)))",83.26994576,272.7102073
334,2,Commercial,-5631.44,5658994.1,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0802968 51.0670811, -114.0802976 51.0672459, -114.0802976 51.0672487, -114.080425 51.0672485, -114.0804249 51.067245, -114.0804242 51.0670809, -114.0802968 51.0670811)))",55.14633242,166.4136386
335,2,Commercial,-5842.99,5658994.16,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0832305 51.0670943, -114.0832278 51.0671942, -114.0833726 51.0671941, -114.0833745 51.0672467, -114.0835299 51.0672457, -114.0835295 51.0670927, -114.08353 51.0670796, -114.0832331 51.0670809, -114.0832305 51.0670943)))",78.79727776,329.9781075
336,2,Commercial,-5915.63,5658996,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0843076 51.0670814, -114.0843073 51.0670927, -114.0843078 51.067278, -114.0845233 51.0672778, -114.0845228 51.0670926, -114.0845236 51.0670789, -114.0843076 51.0670814)))",74.24225063,332.2726931
337,2,Commercial,-5857.82,5658992.08,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0836364 51.0670803, -114.083545 51.0670807, -114.0835456 51.0670927, -114.0835458 51.0672083, -114.0836362 51.0672082, -114.083636 51.0670927, -114.0836364 51.0670803)))",41.16474162,90.08806588
338,2,Commercial,-4958.16,5658997.01,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0706806 51.0672876, -114.070744 51.0672875, -114.0707438 51.0672565, -114.0708323 51.0672564, -114.0708325 51.0673053, -114.0708356 51.0673053, -114.0712044 51.0673048, -114.0712041 51.0672158, -114.0708298 51.0672163, -114.0708293 51.0670888, -114.0706798 51.0670891, -114.0706806 51.0672876)))",128.4778433,469.4188873
339,2,Commercial,-4782.3,5659003.06,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0679412 51.0673065, -114.0679417 51.0673332, -114.0679418 51.067337, -114.0680203 51.0673364, -114.0680198 51.0673057, -114.0680979 51.0673052, -114.0680989 51.0673622, -114.0682631 51.0673611, -114.0682638 51.0674011, -114.0683956 51.0674002, -114.0684339 51.0674153, -114.0685345 51.0674146, -114.0685343 51.0674064, -114.068534 51.0673881, -114.0685338 51.0673732, -114.0685493 51.0673731, -114.0685489 51.0673504, -114.0685358 51.0673505, -114.0685351 51.0673086, -114.0685439 51.0673082, -114.0685442 51.0671436, -114.0684955 51.0671435, -114.0684955 51.0671206, -114.0683068 51.0671206, -114.0682616 51.0671211, -114.0682611 51.0670935, -114.0680996 51.0670946, -114.0680995 51.0670909, -114.0679451 51.067092, -114.0679489 51.0673065, -114.0679412 51.0673065)))",164.6478071,1228.791911
340,2,Commercial,-5774.46,5658999.37,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0821852 51.0672558, -114.0821962 51.0672558, -114.0824036 51.0672562, -114.0824011 51.0673068, -114.0825393 51.0673078, -114.0825397 51.0673398, -114.0826079 51.067339, -114.0826057 51.0673065, -114.0826213 51.0673066, -114.0826173 51.0671778, -114.0826069 51.0671773, -114.0826061 51.0670931, -114.082606 51.0670816, -114.0824098 51.0670821, -114.0824001 51.0671055, -114.0821841 51.0671062, -114.0821852 51.0672558)))",117.6085202,642.8809676
341,2,Commercial,-5930.57,5658990.65,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0847198 51.0670955, -114.0847164 51.0670906, -114.0847114 51.0670863, -114.0847077 51.0670841, -114.0847048 51.0670831, -114.0847003 51.0670818, -114.0846954 51.0670803, -114.0845742 51.0670804, -114.084538 51.0670804, -114.0845384 51.0670926, -114.0845393 51.0671789, -114.084717 51.0671811, -114.0847179 51.0671462, -114.0847198 51.0670955)))",46.47587916,138.67374
342,2,Commercial,-5144.22,5659002.38,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0729922 51.0671297, -114.0729922 51.0671314, -114.0729928 51.0673441, -114.073162 51.0673439, -114.0731621 51.0673542, -114.0732548 51.0673541, -114.0732549 51.0673995, -114.073694 51.067399, -114.0736936 51.0672313, -114.073827 51.0672311, -114.0738269 51.0672291, -114.0738266 51.0671064, -114.0735996 51.0671067, -114.0735996 51.0671217, -114.0734431 51.0671219, -114.0734432 51.0671619, -114.0734619 51.0671619, -114.0734623 51.0672987, -114.0734487 51.0672987, -114.0734488 51.067343, -114.0734261 51.067343, -114.0734254 51.0670882, -114.072992 51.0670887, -114.0729922 51.0671297)))",241.3328089,1612.407993
343,2,Commercial,-5865.96,5658990.46,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0836649 51.0670815, -114.0836653 51.0670927, -114.0836619 51.067188, -114.0836869 51.0671883, -114.0836872 51.0671777, -114.0837487 51.0671786, -114.0837518 51.0670927, -114.0837518 51.0670814, -114.0836649 51.0670815)))",35.99901019,67.16781831
344,2,Commercial,-5882.85,5658995.88,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0841086 51.0670813, -114.0837865 51.0670815, -114.0837873 51.0670927, -114.0837874 51.0672753, -114.0838956 51.0672753, -114.0838956 51.0672663, -114.0840003 51.0672662, -114.0840003 51.0672749, -114.0841086 51.0672749, -114.0841085 51.0670927, -114.0841086 51.0670813)))",90.15234915,477.8939618
345,2,Commercial,-5597.37,5658997.23,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0797401 51.0672884, -114.0798211 51.0672883, -114.0798337 51.0672883, -114.0798337 51.0673022, -114.0800256 51.067302, -114.0800251 51.0670843, -114.0797241 51.0670846, -114.0797244 51.0671891, -114.0797398 51.0671891, -114.0797401 51.0672884)))",90.61991746,487.0602717
346,2,Commercial,-4359.62,5658990.62,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0623424 51.067115, -114.0623424 51.0671103, -114.062341 51.0671068, -114.0623359 51.0671016, -114.0623299 51.0670989, -114.0623245 51.0670977, -114.0623177 51.0670977, -114.0620885 51.067097, -114.0620877 51.0671913, -114.0623418 51.0671922, -114.0623424 51.067115)))",55.95137636,186.4005683
347,2,Commercial,-5575.21,5658994.53,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0796046 51.0670981, -114.0795109 51.0670987, -114.0795128 51.0672207, -114.0795544 51.0672205, -114.0795547 51.06724, -114.0795977 51.0672397, -114.0795974 51.0672198, -114.0796065 51.0672197, -114.0796046 51.0670981)))",44.61756583,95.67880525
348,2,Commercial,-6275.77,5658999.46,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0894432 51.0671216, -114.089442 51.0673101, -114.0896646 51.0673106, -114.0896659 51.0671026, -114.0894433 51.067102, -114.0894432 51.0671216)))",77.49072929,361.0650152
